,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,histoire,history
1,2,2,seulement,only
2,3,4,pensais,thought
3,4,5,aide,help
4,6,7,genre,kind
5,7,8,mois,month
6,8,9,frère,brother
7,9,10,laisser,let
8,10,11,car,because
9,11,12,mettre,to put
10,14,16,ville,city
11,15,18,parlé,speak
12,16,19,arrivé,come
13,17,20,devrait,should
14,20,24,vont,will
15,21,25,pendant,while
16,22,29,parle,speak
17,25,32,étaient,were
18,26,33,attention,Warning
19,28,35,pourrais,could
20,29,36,affaire,case
21,31,39,leurs,their
22,33,42,corps,body
23,34,43,endroit,place
24,35,46,écoute,listen
25,36,47,dont,whose
26,37,48,trouve,find
27,38,49,premier,first
28,39,50,perdu,lost
29,40,52,première,first
30,43,55,vieux,old
31,44,59,tellement,so much
32,46,62,venu,came
33,47,64,pardon,sorry
34,48,65,venez,come
35,50,67,vers,towards
36,51,69,demandé,request
37,52,70,chambre,bedroom
38,54,73,droit,law
39,55,74,aimerais,would like to
40,57,80,eau,water
41,58,81,attendez,Wait
42,59,82,parti,left
43,60,83,nouvelle,new
44,61,85,arrêter,Stop
45,62,88,compte,account
46,63,90,loin,far
47,64,91,fin,end
48,65,92,croire,believe
49,66,95,plutôt,rather
50,67,96,aura,will have
51,68,97,filles,girls
